suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2013,50,21,agsk,per_function_runlevel,51,1.420000e+02,2.763862e-03,2.211090e-02,win,ok
cec2013,50,21,apgsk,per_function_runlevel,51,1.210000e+02,1.790763e-04,1.253534e-03,win,ok
cec2013,50,21,fdb-agsk,per_function_runlevel,51,1.180000e+02,2.211467e-03,1.769174e-02,win,ok
cec2013,50,21,atmals-gsk,per_function_runlevel,51,2.155000e+02,9.117703e-03,5.990063e-02,tie,ok
cec2013,50,21,egsk,per_function_runlevel,51,2.005000e+02,6.187043e-02,5.568338e-01,tie,ok
cec2013,50,22,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,22,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,22,apgsk,per_function_runlevel,51,1.900000e+01,1.627109e-09,1.627109e-08,loss,ok
cec2013,50,22,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,22,atmals-gsk,per_function_runlevel,51,1.100000e+01,1.020312e-09,1.734530e-08,loss,ok
cec2013,50,22,egsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,50,23,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,23,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,23,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,23,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,23,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,23,egsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.490422e-08,win,ok
cec2013,50,24,gsk,per_function_runlevel,51,3.980000e+02,1.316474e-02,7.898843e-02,tie,ok
cec2013,50,24,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,24,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,24,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,24,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,24,egsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,3.871140e-08,win,ok
cec2013,50,25,gsk,per_function_runlevel,51,5.300000e+02,2.142425e-01,1.000000e+00,tie,ok
cec2013,50,25,agsk,per_function_runlevel,51,8.000000e+01,4.771518e-08,5.248670e-07,win,ok
cec2013,50,25,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,25,fdb-agsk,per_function_runlevel,51,8.200000e+01,5.301823e-08,5.832005e-07,win,ok
cec2013,50,25,atmals-gsk,per_function_runlevel,51,3.030000e+02,7.524406e-04,6.771965e-03,loss,ok
cec2013,50,25,egsk,per_function_runlevel,51,4.450000e+02,4.147694e-02,4.147694e-01,tie,ok
cec2013,50,26,gsk,per_function_runlevel,51,3.270000e+02,1.662148e-03,1.662148e-02,win,ok
cec2013,50,26,agsk,per_function_runlevel,51,4.650000e+02,6.413208e-02,3.847925e-01,tie,ok
cec2013,50,26,apgsk,per_function_runlevel,51,4.650000e+02,6.413208e-02,2.565283e-01,tie,ok
cec2013,50,26,fdb-agsk,per_function_runlevel,51,4.650000e+02,6.413208e-02,3.206604e-01,tie,ok
cec2013,50,26,atmals-gsk,per_function_runlevel,51,3.820000e+02,8.557233e-03,5.990063e-02,tie,ok
cec2013,50,26,egsk,per_function_runlevel,51,3.750000e+02,7.041671e-03,8.450005e-02,tie,ok
cec2013,50,27,gsk,per_function_runlevel,51,6.000000e+02,5.579818e-01,1.000000e+00,tie,ok
cec2013,50,27,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,27,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,27,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,27,atmals-gsk,per_function_runlevel,51,2.300000e+01,2.050526e-09,3.280841e-08,win,ok
cec2013,50,27,egsk,per_function_runlevel,51,4.940000e+02,1.142377e-01,9.139013e-01,tie,ok
cec2013,50,28,gsk,per_function_runlevel,51,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
cec2013,50,28,agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,28,apgsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,28,fdb-agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,28,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.814493e-01,6.007984e-01,tie,ok
cec2013,50,28,egsk,per_function_runlevel,51,0.000000e+00,3.710933e-01,1.000000e+00,tie,ok
