suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2017,30,28,gsk,51,4.415609e-01,-1.168781e-01,negligible,ok
cec2017,30,28,agsk,51,4.467512e-01,-1.064975e-01,negligible,ok
cec2017,30,28,apgsk,51,6.505190e-01,3.010381e-01,medium,ok
cec2017,30,28,fdb-agsk,51,5.272972e-01,5.459439e-02,negligible,ok
cec2017,30,28,atmals-gsk,51,4.967320e-01,-6.535948e-03,negligible,ok
cec2017,30,28,egsk,51,4.436755e-01,-1.126490e-01,negligible,ok
cec2017,30,29,gsk,51,4.978854e-01,-4.229143e-03,negligible,ok
cec2017,30,29,agsk,51,7.958478e-01,5.916955e-01,large,ok
cec2017,30,29,apgsk,51,7.785467e-01,5.570934e-01,large,ok
cec2017,30,29,fdb-agsk,51,6.924260e-01,3.848520e-01,medium,ok
cec2017,30,29,atmals-gsk,51,4.690504e-01,-6.189927e-02,negligible,ok
cec2017,30,29,egsk,51,8.727413e-02,-8.254517e-01,large,ok
cec2017,30,30,gsk,51,4.648212e-01,-7.035755e-02,negligible,ok
cec2017,30,30,agsk,51,6.647443e-01,3.294887e-01,medium,ok
cec2017,30,30,apgsk,51,8.039216e-01,6.078431e-01,large,ok
cec2017,30,30,fdb-agsk,51,6.532103e-01,3.064206e-01,medium,ok
cec2017,30,30,atmals-gsk,51,5.051903e-01,1.038062e-02,negligible,ok
cec2017,30,30,egsk,51,5.009612e-01,1.922338e-03,negligible,ok
