suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,100,21,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,21,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,21,egsk,per_function_runlevel,51,3.940000e+02,1.184345e-02,1.431084e-02,loss,ok
cec2017,100,22,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,22,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,22,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,22,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,22,atmals-gsk,per_function_runlevel,51,1.760000e+02,5.115753e-06,8.242046e-06,win,ok
cec2017,100,22,egsk,per_function_runlevel,51,4.000000e+00,6.751958e-10,2.175631e-09,win,ok
cec2017,100,23,gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.365348e-09,loss,ok
cec2017,100,23,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,23,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,23,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,23,atmals-gsk,per_function_runlevel,51,1.600000e+02,2.478040e-06,4.227244e-06,win,ok
cec2017,100,23,egsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,2.048023e-09,loss,ok
cec2017,100,24,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,loss,ok
cec2017,100,24,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,24,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,24,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,24,atmals-gsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,4.317810e-09,win,ok
cec2017,100,24,egsk,per_function_runlevel,51,5.500000e+01,1.241759e-08,2.250689e-08,loss,ok
cec2017,100,25,gsk,per_function_runlevel,51,5.650000e+02,3.607625e-01,3.874857e-01,tie,ok
cec2017,100,25,agsk,per_function_runlevel,51,6.530000e+02,9.290437e-01,9.290437e-01,tie,ok
cec2017,100,25,apgsk,per_function_runlevel,51,4.440000e+02,4.054982e-02,4.522865e-02,win,ok
cec2017,100,25,fdb-agsk,per_function_runlevel,51,4.360000e+02,3.374617e-02,4.254952e-02,loss,ok
cec2017,100,25,atmals-gsk,per_function_runlevel,51,5.680000e+02,3.757292e-01,4.358459e-01,tie,ok
cec2017,100,25,egsk,per_function_runlevel,51,6.060000e+02,5.963887e-01,6.176882e-01,tie,ok
cec2017,100,26,gsk,per_function_runlevel,51,6.300000e+01,1.921487e-08,3.980224e-08,loss,ok
cec2017,100,26,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,26,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,26,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,26,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.580776e-09,win,ok
cec2017,100,26,egsk,per_function_runlevel,51,2.930000e+02,5.332984e-04,7.029843e-04,loss,ok
