suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,50,5,gsk,400000,3.247810e+02,51,ok
cec2017,50,5,gsk,450000,3.196791e+02,51,ok
cec2017,50,5,gsk,500000,3.177130e+02,51,ok
cec2017,50,5,agsk,5000,8.820655e+02,51,ok
cec2017,50,5,agsk,10000,7.683090e+02,51,ok
cec2017,50,5,agsk,15000,7.017589e+02,51,ok
cec2017,50,5,agsk,25000,6.201239e+02,51,ok
cec2017,50,5,agsk,50000,5.232948e+02,51,ok
cec2017,50,5,agsk,100000,4.462899e+02,51,ok
cec2017,50,5,agsk,150000,3.911541e+02,51,ok
cec2017,50,5,agsk,200000,3.562369e+02,51,ok
cec2017,50,5,agsk,250000,3.281637e+02,51,ok
cec2017,50,5,agsk,300000,3.075022e+02,51,ok
cec2017,50,5,agsk,350000,2.869796e+02,51,ok
cec2017,50,5,agsk,400000,2.712079e+02,51,ok
cec2017,50,5,agsk,450000,2.509919e+02,51,ok
cec2017,50,5,agsk,500000,2.391621e+02,51,ok
cec2017,50,5,apgsk,5000,8.790008e+02,51,ok
cec2017,50,5,apgsk,10000,7.627428e+02,51,ok
cec2017,50,5,apgsk,15000,6.931954e+02,51,ok
cec2017,50,5,apgsk,25000,6.200611e+02,51,ok
cec2017,50,5,apgsk,50000,5.475306e+02,51,ok
cec2017,50,5,apgsk,100000,3.567322e+02,51,ok
cec2017,50,5,apgsk,150000,3.227066e+02,51,ok
cec2017,50,5,apgsk,200000,3.074365e+02,51,ok
cec2017,50,5,apgsk,250000,2.981799e+02,51,ok
cec2017,50,5,apgsk,300000,2.957535e+02,51,ok
cec2017,50,5,apgsk,350000,2.919829e+02,51,ok
cec2017,50,5,apgsk,400000,2.880933e+02,51,ok
cec2017,50,5,apgsk,450000,2.829211e+02,51,ok
cec2017,50,5,apgsk,500000,2.777857e+02,51,ok
cec2017,50,5,fdb-agsk,5000,8.814198e+02,51,ok
cec2017,50,5,fdb-agsk,10000,7.547020e+02,51,ok
cec2017,50,5,fdb-agsk,15000,6.664763e+02,51,ok
cec2017,50,5,fdb-agsk,25000,5.821640e+02,51,ok
cec2017,50,5,fdb-agsk,50000,4.839715e+02,51,ok
cec2017,50,5,fdb-agsk,100000,3.954645e+02,51,ok
cec2017,50,5,fdb-agsk,150000,3.433033e+02,51,ok
cec2017,50,5,fdb-agsk,200000,3.046470e+02,51,ok
cec2017,50,5,fdb-agsk,250000,2.758619e+02,51,ok
cec2017,50,5,fdb-agsk,300000,2.492575e+02,51,ok
cec2017,50,5,fdb-agsk,350000,2.296526e+02,51,ok
cec2017,50,5,fdb-agsk,400000,2.115481e+02,51,ok
cec2017,50,5,fdb-agsk,450000,2.025857e+02,51,ok
cec2017,50,5,fdb-agsk,500000,1.937111e+02,51,ok
cec2017,50,5,atmals-gsk,5000,5.296197e+02,51,ok
cec2017,50,5,atmals-gsk,10000,4.380352e+02,51,ok
cec2017,50,5,atmals-gsk,15000,3.905022e+02,51,ok
cec2017,50,5,atmals-gsk,25000,3.423663e+02,51,ok
cec2017,50,5,atmals-gsk,50000,2.833288e+02,51,ok
cec2017,50,5,atmals-gsk,100000,2.342963e+02,51,ok
cec2017,50,5,atmals-gsk,150000,2.133132e+02,51,ok
cec2017,50,5,atmals-gsk,200000,2.033789e+02,51,ok
cec2017,50,5,atmals-gsk,250000,1.979541e+02,51,ok
cec2017,50,5,atmals-gsk,300000,1.948236e+02,51,ok
cec2017,50,5,atmals-gsk,350000,1.925669e+02,51,ok
cec2017,50,5,atmals-gsk,400000,1.913530e+02,51,ok
cec2017,50,5,atmals-gsk,450000,1.903778e+02,51,ok
cec2017,50,5,atmals-gsk,500000,1.895935e+02,51,ok
cec2017,50,5,egsk,5000,5.759857e+02,51,ok
cec2017,50,5,egsk,10000,5.146980e+02,51,ok
cec2017,50,5,egsk,15000,4.781938e+02,51,ok
cec2017,50,5,egsk,25000,4.386785e+02,51,ok
cec2017,50,5,egsk,50000,3.912291e+02,51,ok
cec2017,50,5,egsk,100000,3.649956e+02,51,ok
cec2017,50,5,egsk,150000,3.523792e+02,51,ok
cec2017,50,5,egsk,200000,3.428841e+02,51,ok
cec2017,50,5,egsk,250000,3.249252e+02,51,ok
cec2017,50,5,egsk,300000,2.762872e+02,51,ok
cec2017,50,5,egsk,350000,1.868654e+02,51,ok
cec2017,50,5,egsk,400000,3.912988e+01,51,ok
cec2017,50,5,egsk,450000,3.912988e+01,51,ok
cec2017,50,5,egsk,500000,3.912988e+01,51,ok
cec2017,50,5,dt-gsk,5000,7.113169e+02,51,ok
cec2017,50,5,dt-gsk,10000,5.837476e+02,51,ok
cec2017,50,5,dt-gsk,15000,5.268863e+02,51,ok
cec2017,50,5,dt-gsk,25000,4.658027e+02,51,ok
cec2017,50,5,dt-gsk,50000,4.074521e+02,51,ok
cec2017,50,5,dt-gsk,100000,3.468434e+02,51,ok
cec2017,50,5,dt-gsk,150000,3.019591e+02,51,ok
cec2017,50,5,dt-gsk,200000,2.759639e+02,51,ok
cec2017,50,5,dt-gsk,250000,2.575772e+02,51,ok
cec2017,50,5,dt-gsk,300000,2.425521e+02,51,ok
cec2017,50,5,dt-gsk,350000,2.297827e+02,51,ok
cec2017,50,5,dt-gsk,400000,7.433104e+01,51,ok
cec2017,50,5,dt-gsk,450000,5.009306e+01,51,ok
cec2017,50,5,dt-gsk,500000,3.984380e+01,51,ok
cec2017,50,6,gsk,5000,7.272774e+01,51,ok
cec2017,50,6,gsk,10000,4.031219e+01,51,ok
cec2017,50,6,gsk,15000,2.061010e+01,51,ok
cec2017,50,6,gsk,25000,5.767733e+00,51,ok
cec2017,50,6,gsk,50000,1.732805e-01,51,ok
cec2017,50,6,gsk,100000,6.414684e-05,51,ok
cec2017,50,6,gsk,150000,3.850863e-06,51,ok
cec2017,50,6,gsk,200000,3.665196e-06,51,ok
cec2017,50,6,gsk,250000,3.653730e-06,51,ok
cec2017,50,6,gsk,300000,3.653730e-06,51,ok
cec2017,50,6,gsk,350000,3.653730e-06,51,ok
cec2017,50,6,gsk,400000,3.653730e-06,51,ok
cec2017,50,6,gsk,450000,3.653730e-06,51,ok
cec2017,50,6,gsk,500000,3.653730e-06,51,ok
cec2017,50,6,agsk,5000,1.133708e+02,51,ok
cec2017,50,6,agsk,10000,1.022795e+02,51,ok
cec2017,50,6,agsk,15000,9.560966e+01,51,ok
cec2017,50,6,agsk,25000,8.744786e+01,51,ok
cec2017,50,6,agsk,50000,7.491969e+01,51,ok
cec2017,50,6,agsk,100000,3.346293e+01,51,ok
cec2017,50,6,agsk,150000,1.877938e+01,51,ok
cec2017,50,6,agsk,200000,1.068373e+01,51,ok
cec2017,50,6,agsk,250000,5.130776e+00,51,ok
cec2017,50,6,agsk,300000,1.470908e+00,51,ok
cec2017,50,6,agsk,350000,2.282047e-01,51,ok
cec2017,50,6,agsk,400000,1.649459e-02,51,ok
cec2017,50,6,agsk,450000,1.131964e-03,51,ok
cec2017,50,6,agsk,500000,5.184993e-04,51,ok
cec2017,50,6,apgsk,5000,1.128302e+02,51,ok
cec2017,50,6,apgsk,10000,1.021086e+02,51,ok
cec2017,50,6,apgsk,15000,9.619923e+01,51,ok
cec2017,50,6,apgsk,25000,8.765165e+01,51,ok
cec2017,50,6,apgsk,50000,7.814722e+01,51,ok
cec2017,50,6,apgsk,100000,5.722307e+01,51,ok
cec2017,50,6,apgsk,150000,5.344325e+01,51,ok
cec2017,50,6,apgsk,200000,5.146483e+01,51,ok
cec2017,50,6,apgsk,250000,4.978916e+01,51,ok
cec2017,50,6,apgsk,300000,3.109541e+01,51,ok
cec2017,50,6,apgsk,350000,3.984980e+00,51,ok
cec2017,50,6,apgsk,400000,2.173765e-01,51,ok
cec2017,50,6,apgsk,450000,7.213238e-03,51,ok
cec2017,50,6,apgsk,500000,7.964113e-04,51,ok
cec2017,50,6,fdb-agsk,5000,1.124507e+02,51,ok
cec2017,50,6,fdb-agsk,10000,1.008709e+02,51,ok
cec2017,50,6,fdb-agsk,15000,9.401241e+01,51,ok
cec2017,50,6,fdb-agsk,25000,8.383579e+01,51,ok
cec2017,50,6,fdb-agsk,50000,6.744338e+01,51,ok
cec2017,50,6,fdb-agsk,100000,2.374639e+01,51,ok
cec2017,50,6,fdb-agsk,150000,1.135809e+01,51,ok
cec2017,50,6,fdb-agsk,200000,4.837848e+00,51,ok
cec2017,50,6,fdb-agsk,250000,1.267445e+00,51,ok
cec2017,50,6,fdb-agsk,300000,1.225152e-01,51,ok
cec2017,50,6,fdb-agsk,350000,4.339031e-03,51,ok
cec2017,50,6,fdb-agsk,400000,3.523420e-04,51,ok
cec2017,50,6,fdb-agsk,450000,2.037516e-04,51,ok
cec2017,50,6,fdb-agsk,500000,2.037055e-04,51,ok
cec2017,50,6,atmals-gsk,5000,6.561105e+01,51,ok
cec2017,50,6,atmals-gsk,10000,4.149877e+01,51,ok
cec2017,50,6,atmals-gsk,15000,2.491888e+01,51,ok
